Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
Ara,ara
misc,miss
Denali,tonally
these,ts
the,thee
talon,talent
talon,tallin
sql,sequel
Stanford,Stamford
vyvanse,vivant
yeah,ya
Jill,jill
align,aline
yay,yea
vscode,vasco
echo,ecco
lay,Le
load a,loda
linux,Linux
Guam,GUAM
intrinsic sizing,interns excising
